"",Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Clustering,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[gemini-embedding-exp-03-07](https://developers.googleblog.com/en/gemini-embedding-text-model-now-available-gemini-api/),99%,Unknown,Unknown,3072,8192,54.59,68.37,59.59,79.28,71.82,5.18,29.16,83.63,65.58,67.71,79.4
1,14,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),96%,13563,7B,4096,32768,53.65,59.8,52.83,68.84,59.01,-1.8,25.19,78.58,63.04,57.93,71.04
2,3,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,29040,7B,3584,32768,52.77,62.51,55.93,73.92,61.55,4.94,25.48,85.13,65.55,60.08,73.98
3,36,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,29449,7B,4096,32768,52.26,,,60.8,,5.36,23.45,,,,
4,11,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,6776,1B,8960,32768,52.05,59.45,52.69,62.51,58.32,0.74,24.02,81.58,62.58,60.78,71.61
5,5,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),96%,13563,7B,4096,32768,51.84,60.9,53.92,70.0,60.02,0.16,24.55,80.29,64.19,59.44,74.79
6,4,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),99%,1068,560M,1024,514,50.75,63.22,55.08,80.13,64.94,-0.4,22.91,80.86,62.61,57.12,76.81
7,2,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),99%,13563,7B,4096,32768,50.6,61.47,54.14,70.34,62.24,0.94,24.77,80.43,64.37,58.69,74.86
8,9,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),99%,13563,7B,4096,32768,50.57,60.25,53.08,70.58,60.31,-0.62,22.2,81.12,63.82,55.75,74.02
9,8,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),99%,89079,57B,4096,4096,50.16,60.49,53.31,68.17,61.55,2.44,24.43,79.73,62.61,57.54,73.16
10,6,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),99%,13813,7B,4096,4096,49.75,60.92,53.74,70.53,61.83,3.45,22.77,79.94,63.78,58.31,73.33
11,15,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),92%,5887,1B,8960,131072,49.71,56.53,49.96,58.56,56.69,0.21,21.84,78.47,61.37,52.84,69.91
12,7,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99%,Unknown,Unknown,768,2048,47.84,62.16,54.25,70.73,64.64,4.08,22.8,81.14,61.22,59.68,76.11
13,10,[Cohere-embed-multilingual-v3.0](https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0),⚠️ NA,Unknown,Unknown,1024,Unknown,46.89,61.12,53.23,70.5,62.95,-1.89,22.74,79.88,64.07,59.16,74.8
14,13,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,Unknown,Unknown,3072,8191,46.89,58.93,51.41,62.17,60.27,-2.68,22.03,79.17,63.89,59.27,71.68
15,12,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),98%,2136,559M,1024,514,46.49,60.96,52.92,73.55,62.77,-3.04,22.36,79.83,61.42,55.1,77.81
16,42,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),92%,1660,435M,4096,8192,46.2,48.32,42.11,39.24,49.2,-0.7,18.22,74.51,46.49,42.58,63.23
17,29,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,Unknown,Unknown,1536,8191,46.09,54.26,47.44,50.32,55.16,-2.38,19.92,76.64,59.54,52.24,69.42
18,25,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),93%,1885,494M,896,512,45.89,56.35,49.28,64.22,57.38,-2.6,21.62,77.47,58.17,50.84,70.54
19,21,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),99%,1092,572M,1024,8194,45.65,58.37,50.66,65.25,58.77,-1.34,18.38,79.27,57.09,55.76,77.13
20,19,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),93%,1885,494M,896,512,45.61,57.05,50.05,64.77,57.57,-1.5,20.67,77.7,60.59,54.17,70.84
21,33,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,Unknown,Unknown,512,32000,44.82,,,60.12,57.93,-1.17,,75.07,60.29,58.6,68.2
22,27,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,Unknown,Unknown,384,512,44.79,57.58,50.28,65.03,58.51,-2.45,20.09,77.0,61.98,55.79,71.8
23,24,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),98%,1061,278M,768,514,44.68,58.23,50.61,69.98,59.36,-3.84,20.68,77.44,59.41,52.96,74.84
24,22,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),99%,582,305M,768,8192,44.33,58.24,51.44,71.79,57.17,-0.74,19.82,80.49,60.72,56.5,72.85
25,18,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,2136,559M,1024,514,43.86,59.63,52.01,76.1,60.84,-3.48,21.4,78.72,62.02,55.69,72.98
26,30,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),98%,449,117M,384,512,43.78,57.01,49.69,69.48,58.06,-3.36,19.17,77.07,59.31,49.55,74.14
27,53,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),99%,2136,559M,1024,514,42.92,45.4,37.95,26.86,52.05,-3.39,17.08,73.41,39.82,33.33,59.49
28,26,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),92%,29945,7B,4096,32768,42.86,54.88,48.33,48.9,57.04,3.02,18.95,76.19,64.29,53.98,69.77
29,31,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),99%,2166,568M,1024,8192,42.76,57.03,49.95,64.08,57.39,-2.47,18.94,76.71,63.67,58.36,70.11
30,51,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,639,335M,1024,512,42.49,45.91,39.45,25.74,49.74,-1.95,18.1,72.56,47.6,40.3,60.46
31,52,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),96%,1278,335M,1024,512,42.39,45.75,39.51,25.64,48.18,-1.81,17.54,72.28,47.08,40.41,63.92
32,39,[Cohere-embed-english-v3.0](https://huggingface.co/Cohere/Cohere-embed-english-v3.0),⚠️ NA,Unknown,Unknown,1024,Unknown,42.32,48.13,41.77,31.39,50.31,-0.17,17.19,74.07,50.68,45.41,64.72
33,64,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),96%,418,109M,768,512,42.26,45.0,38.56,24.38,47.88,-3.35,16.71,71.7,45.64,38.45,63.41
34,38,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),99%,1165,305M,768,8192,42.24,53.7,46.89,53.73,54.38,-3.34,17.04,74.86,61.67,54.83,66.6
35,71,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),99%,1061,278M,768,514,42.16,44.15,36.37,23.55,52.28,-3.32,16.01,72.39,36.07,30.79,57.37
36,48,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,1278,335M,1024,512,41.87,46.09,39.61,26.84,49.66,-2.14,17.17,72.82,48.35,41.21,60.75
37,32,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),99%,1061,278M,768,514,41.82,57.02,49.83,69.44,58.21,-2.65,20.16,77.15,60.18,52.72,71.44
38,103,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),⚠️ NA,1061,Unknown,768,514,41.72,,,26.73,,-2.76,15.5,,38.13,,
39,46,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,13563,7B,Unknown,32768,41.71,,,19.54,57.32,-0.09,,74.82,48.85,,65.49
40,23,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),99%,2136,560M,1024,514,41.7,58.55,51.34,73.81,59.43,-3.05,21.13,78.87,62.78,54.08,73.31
41,68,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,Unknown,Unknown,Unknown,512,41.51,44.67,38.0,25.09,48.64,-3.27,15.82,71.74,43.86,35.28,63.31
42,77,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,209,109M,768,512,41.45,44.4,38.32,25.3,47.19,-2.45,16.15,71.37,46.94,35.86,63.09
43,57,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),99%,1242,335M,1024,512,41.42,45.08,39.06,26.65,48.02,-2.29,17.67,72.04,48.84,39.0,60.14
44,41,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),96%,530,278M,768,512,41.41,53.74,47.22,58.48,54.09,-1.77,17.67,75.71,59.89,52.2,67.27
45,72,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),99%,390,109M,768,512,41.41,44.52,38.14,23.67,47.99,-3.98,16.37,71.69,47.57,38.61,59.97
46,63,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,639,335M,1024,512,41.39,45.21,39.35,26.23,47.61,-1.29,17.91,71.74,48.87,38.23,63.47
47,67,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),98%,27126,7B,4096,32768,41.26,,,,57.24,-0.85,,76.8,55.46,43.07,67.87
48,75,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100%,1659,434M,1024,514,41.06,42.52,35.71,25.25,48.39,-3.58,16.8,73.86,35.94,31.75,51.93
49,87,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),99%,449,117M,384,512,40.94,43.11,35.57,21.19,50.72,-4.4,16.59,73.71,34.88,31.05,55.46
50,20,[bge-m3](https://huggingface.co/BAAI/bge-m3),98%,2167,568M,4096,8194,40.88,59.56,52.18,79.11,60.35,-3.11,20.1,80.76,62.79,54.6,74.12
51,69,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,127,33M,384,512,40.87,44.9,38.16,23.12,49.21,-2.53,16.9,71.73,43.59,37.81,62.7
52,54,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),96%,522,Unknown,768,8192,40.81,45.68,39.12,28.37,49.39,-3.25,17.8,71.66,46.01,37.05,64.25
53,17,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),92%,14975,7B,4096,32768,40.8,56.29,49.58,57.84,57.29,1.04,18.63,78.94,63.82,56.72,71.1
54,35,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),99%,449,118M,384,512,40.78,55.76,49.04,69.49,56.21,-2.45,18.98,76.91,60.39,49.33,71.72
55,58,[e5-large](https://huggingface.co/intfloat/e5-large),100%,1278,335M,1024,512,40.62,45.59,39.2,30.56,48.16,-2.33,16.31,73.48,44.19,38.5,63.32
56,73,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),96%,127,33M,384,512,40.47,44.21,37.8,23.36,47.57,-2.75,16.79,71.54,43.25,37.22,62.71
57,55,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),96%,Unknown,Unknown,768,8192,40.42,45.92,39.19,28.6,49.24,-3.75,17.36,72.07,45.04,40.74,62.99
58,60,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,Unknown,Unknown,384,512,40.4,45.85,39.48,26.1,48.89,-1.39,16.42,72.04,48.03,41.78,63.02
59,49,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),96%,204,107M,384,512,40.38,51.81,45.47,54.08,52.57,-2.96,17.33,75.29,58.48,48.08,65.98
60,89,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),96%,238,125M,768,512,40.38,44.04,38.09,26.56,46.98,-1.29,16.84,70.97,45.99,39.26,57.08
61,28,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),98%,2166,567M,1024,8194,40.35,57.86,50.57,72.16,58.73,-2.5,19.56,78.51,60.37,53.26,74.69
62,84,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,64,33M,384,512,40.28,44.1,38.02,23.94,47.28,-1.57,16.27,71.44,45.77,35.99,62.77
63,88,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),97%,127,33M,384,512,40.23,43.34,37.27,22.96,47.34,-1.68,16.74,71.33,45.01,35.16,58.33
64,43,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,2136,559M,1024,514,40.22,52.62,45.92,60.89,56.67,1.38,19.32,83.35,48.31,31.72,71.4
65,44,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,1061,278M,768,512,40.19,51.98,45.17,52.06,55.06,-1.14,16.4,81.15,53.37,39.76,69.66
66,91,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100%,475,124M,768,514,40.17,41.51,34.71,23.4,47.44,-3.44,15.03,73.24,34.44,30.39,51.69
67,56,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,418,109M,768,512,40.1,45.98,39.33,30.95,49.46,-3.94,16.06,72.63,47.5,40.49,60.73
68,37,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),97%,1370,359M,1024,8194,40.05,51.64,45.28,63.38,53.19,-2.65,18.6,80.62,51.53,43.3,59.53
69,98,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,418,109M,768,384,40.03,42.33,36.07,21.19,46.83,-3.08,16.28,70.69,42.23,32.81,57.6
70,83,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),99%,127,33M,512,512,39.93,43.76,37.72,23.63,47.37,-1.86,17.01,71.56,45.89,36.26,59.73
71,86,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),97%,2441,1B,2048,2048,39.81,45.44,39.34,32.22,49.88,-0.35,15.32,72.25,50.93,36.48,57.48
72,50,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,1278,335M,1024,514,39.79,46.64,40.32,33.8,49.8,-0.99,15.85,73.92,48.76,40.06,61.87
73,85,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),97%,2441,1B,2048,2048,39.77,45.4,39.47,30.26,49.25,-0.08,16.06,72.54,51.37,38.35,57.75
74,74,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),96%,522,137M,768,8192,39.74,44.1,37.84,27.09,48.51,-1.85,16.79,71.9,44.84,34.09,59.45
75,40,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,1796,470M,768,512,39.59,53.65,47.18,70.33,55.08,-1.77,19.95,80.8,51.59,36.98,72.09
76,109,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,9560,2B,2048,8192,39.15,37.27,29.58,4.23,54.57,0.74,16.21,67.8,33.66,13.05,36.78
77,65,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),96%,Unknown,Unknown,768,8192,39.1,45.6,39.19,27.41,49.0,-2.15,16.38,71.7,48.18,40.66,62.43
78,92,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100%,1274,335M,1024,512,39.05,43.33,37.16,22.56,47.11,-1.49,16.02,71.58,44.27,39.66,55.64
79,81,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),97%,2441,1B,2048,2048,38.86,45.65,39.57,31.88,49.58,-1.19,15.65,72.97,51.45,37.27,59.68
80,79,[e5-base](https://huggingface.co/intfloat/e5-base),100%,418,109M,768,512,38.69,44.55,37.95,29.55,47.77,-3.49,16.14,71.82,41.49,37.69,61.94
81,99,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),100%,415,109M,768,512,38.37,42.84,36.45,22.04,46.9,-2.34,14.85,70.88,42.76,39.33,55.25
82,96,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),96%,87,22M,384,512,38.34,42.7,36.47,22.75,46.49,-1.94,15.05,71.31,41.45,33.3,61.52
83,61,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,449,118M,768,512,38.33,48.73,42.37,44.56,51.66,-1.31,14.93,78.99,50.97,36.61,66.58
84,107,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),96%,58,30M,384,512,38.27,42.48,36.3,25.26,46.28,-2.75,15.39,70.26,42.53,36.43,55.06
85,45,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,1061,278M,768,514,38.25,52.0,45.32,55.9,54.64,-1.05,14.99,81.16,54.27,38.47,71.29
86,117,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),100%,27126,7B,4096,32768,38.21,,,,54.67,-1.09,,72.41,44.12,30.57,58.87
87,94,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),96%,522,137M,768,2048,38.19,43.23,36.88,22.76,47.07,-1.89,16.32,71.67,41.66,39.3,56.87
88,70,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100%,Unknown,Unknown,Unknown,4096,38.09,45.04,38.05,27.86,50.17,-2.92,15.71,72.93,42.47,36.78,61.38
89,47,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,1796,471M,768,512,38.08,52.07,45.65,76.35,54.6,-3.0,20.12,75.97,50.2,33.17,65.35
90,113,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,87,22M,384,512,37.89,41.41,35.16,20.09,46.12,-2.84,15.05,71.23,40.28,32.51,56.08
91,59,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,449,117M,384,512,37.63,49.69,43.12,48.68,53.1,-1.19,14.91,79.57,51.13,35.06,69.24
92,93,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,87,22M,384,512,37.56,43.54,37.07,22.85,48.44,-2.22,15.63,71.53,44.07,34.42,61.32
93,78,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,127,33M,384,512,37.53,44.47,37.97,28.04,48.07,-2.85,15.14,72.13,44.44,39.38,59.87
94,104,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100%,415,109M,768,512,37.53,41.99,35.56,20.11,46.99,-3.42,15.78,70.47,42.37,38.69,51.51
95,114,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,87,22M,384,256,37.47,41.39,35.12,20.09,46.2,-2.84,15.05,71.23,40.28,32.51,56.08
96,100,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100%,127,32M,384,512,36.67,42.85,36.33,22.78,46.33,-3.09,14.84,71.53,40.03,39.84,58.08
97,97,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100%,490,129M,768,512,36.33,44.64,39.11,53.59,46.78,-3.52,17.9,74.25,42.81,31.8,52.06
98,101,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,127,33M,384,256,36.33,42.07,36.14,22.91,46.74,-0.75,14.59,71.43,44.33,32.5,57.2
99,90,[e5-small](https://huggingface.co/intfloat/e5-small),100%,127,33M,384,512,36.3,43.46,37.18,28.07,46.57,-1.45,15.22,72.96,39.3,36.25,61.37
100,125,[st-polish-kartonberta-base-alpha-v1](https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1),⚠️ NA,Unknown,Unknown,768,514,36.23,38.47,32.39,20.72,43.3,-3.77,14.74,72.15,31.43,28.38,48.29
101,118,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),98%,1540,404M,1024,512,35.92,41.57,35.68,22.34,46.78,-3.53,16.95,71.46,45.58,32.68,52.97
102,102,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,73,19M,384,512,35.89,41.53,34.66,20.46,47.97,-3.83,14.69,71.73,37.48,30.54,57.01
103,120,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,86,22M,384,512,35.34,41.13,34.89,20.12,45.21,-2.36,13.35,71.04,39.69,35.23,56.43
104,76,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,449,118M,384,256,35.33,45.87,39.48,39.5,49.82,-3.97,14.22,77.8,46.33,26.99,69.32
105,105,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100%,492,129M,768,512,35.29,43.17,38.04,59.29,45.54,-3.69,18.81,72.38,40.87,27.15,46.77
106,111,[KartonBERT-USE-base-v1](https://huggingface.co/OrlikB/KartonBERT-USE-base-v1),⚠️ NA,396,103M,768,512,35.12,42.1,35.66,36.52,46.28,-3.66,16.4,72.85,33.37,35.42,48.61
107,106,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️ NA,66,17M,384,512,35.06,41.71,35.01,20.45,47.83,-3.22,14.37,71.94,39.06,29.88,59.72
108,115,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),99%,66,17M,384,512,34.59,40.82,34.59,19.75,46.55,-1.54,14.01,71.23,39.59,27.21,59.97
109,122,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,66,17M,384,512,34.48,39.42,33.19,19.37,45.34,-1.8,13.49,71.39,35.22,26.16,55.08
110,124,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),99%,60,15M,384,512,33.66,39.69,33.61,18.08,45.89,-1.67,13.82,70.53,39.17,24.85,58.16
111,121,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,420,110M,768,512,33.5,40.36,34.86,26.33,42.3,-4.32,14.63,71.63,40.37,35.4,53.92
112,123,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️ NA,1281,335M,1024,512,33.23,38.33,32.42,22.88,44.16,-2.51,15.67,71.67,31.65,21.8,53.26
113,116,[USER-base](https://huggingface.co/deepvk/USER-base),98%,473,427M,768,512,32.97,42.18,36.95,44.81,45.67,-1.96,17.55,74.07,40.97,27.22,51.24
